Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Sousse,170000.0,75.0,Jumia TN,L-TN-00122569,2266.6666666666665
Banlieue Nord,3000.0,119.0,Jumia TN,L-TN-00137257,25.210084033613445
Banlieue Nord,520000.0,171.0,Jumia TN,L-TN-00144328,3040.93567251462
Banlieue Nord,280000.0,110.0,Jumia TN,L-TN-00158472,2545.4545454545455
Nabeul,290000.0,140.0,Jumia TN,L-TN-00173067,2071.4285714285716
Banlieue Nord,185000.0,92.0,Jumia TN,L-TN-00153000,2010.8695652173913
Ariana,700000.0,254.0,Jumia TN,L-TN-00104131,2755.9055118110236
Banlieue Nord,491000.0,217.0,Jumia TN,L-TN-00149406,2262.672811059908
Jendouba,163800.0,41.0,Jumia TN,L-TN-00169515,3995.121951219512
Banlieue Nord,170000.0,73.0,Jumia TN,L-TN-00170421,2328.7671232876714
Banlieue Nord,343565.0,94.0,Jumia TN,L-TN-00154104,3654.946808510638
Sousse,330000.0,105.0,Jumia TN,L-TN-00127646,3142.8571428571427
Sousse,280000.0,155.0,Jumia TN,L-TN-00134963,1806.4516129032259
Ariana,185000.0,109.0,Jumia TN,L-TN-00158127,1697.2477064220184
Banlieue Nord,160000.0,89.0,Jumia TN,L-TN-00159092,1797.752808988764
Nabeul,323400.0,77.0,Jumia TN,L-TN-00171907,4200.0
Banlieue Nord,350000.0,115.0,Jumia TN,L-TN-00142115,3043.478260869565
Sfax,112000.0,94.0,Jumia TN,L-TN-00153174,1191.4893617021276
Banlieue Nord,576800.0,206.0,Jumia TN,L-TN-00147576,2800.0
Banlieue Nord,400000.0,152.0,Jumia TN,L-TN-00152710,2631.5789473684213
Nabeul,180000.0,110.0,Jumia TN,L-TN-00132788,1636.3636363636363
Banlieue Nord,436000.0,120.0,Jumia TN,L-TN-00061607,3633.3333333333335
