Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Nabeul,500.0,90.0,Tunisie-annonce TN,2855993,5.555555555555555
Ben arous,550.0,100.0,Tunisie-annonce TN,2840776,5.5
Ben arous,600.0,75.0,Tunisie-annonce TN,2861181,8.0
Ben arous,550.0,100.0,Tunisie-annonce TN,2825731,5.5
Ariana,1400.0,170.0,Tunisie-annonce TN,2862142,8.235294117647058
Ariana,25000.0,3000.0,Tunisie-annonce TN,2288823,8.333333333333334
Banlieue Nord,740.0,95.0,Tunisie-annonce TN,2861740,7.7894736842105265
Ariana,250.0,200.0,Tunisie-annonce TN,2862159,1.25
Ariana,1000.0,80.0,Tunisie-annonce TN,2748715,12.5
Banlieue Nord,3500.0,500.0,Tunisie-annonce TN,2213217,7.0
Banlieue Nord,1250.0,105.0,Tunisie-annonce TN,2748705,11.904761904761905
Nabeul,1000.0,350.0,Tunisie-annonce TN,2812328,2.857142857142857
Nabeul,650.0,72.0,Tunisie-annonce TN,2443003,9.027777777777779
Cite el khadra,360.0,100.0,Tunisie-annonce TN,2598097,3.6
Nabeul,500.0,120.0,Tunisie-annonce TN,2862152,4.166666666666667
Banlieue Nord,1250.0,100.0,Tunisie-annonce TN,2826088,12.5
Ariana,1100.0,190.0,Tunisie-annonce TN,2860439,5.7894736842105265
Banlieue Nord,1550.0,180.0,Tunisie-annonce TN,2858168,8.61111111111111
Bizerte,300.0,70.0,Tunisie-annonce TN,2713856,4.285714285714286
Banlieue Nord,2700.0,200.0,Tunisie-annonce TN,2828846,13.5
Banlieue Nord,2700.0,300.0,Tunisie-annonce TN,2815348,9.0
Ben arous,800.0,128.0,Tunisie-annonce TN,2859256,6.25
Banlieue Nord,950.0,210.0,Tunisie-annonce TN,2819980,4.523809523809524
Ariana,1000.0,65.0,Tunisie-annonce TN,2776945,15.384615384615385
Banlieue Nord,1250.0,80.0,Tunisie-annonce TN,2773560,15.625
Banlieue Nord,1600.0,100.0,Tunisie-annonce TN,2819900,16.0
Ben arous,650.0,138.0,Tunisie-annonce TN,2860133,4.7101449275362315
Tunis,340.0,60.0,Tunisie-annonce TN,2861262,5.666666666666667
Nabeul,1500.0,120.0,Tunisie-annonce TN,2574405,12.5
Bizerte,1700.0,100.0,Tunisie-annonce TN,2549980,17.0
Nabeul,900.0,100.0,Tunisie-annonce TN,2805618,9.0
Ariana,750.0,75.0,Tunisie-annonce TN,2844187,10.0
Banlieue Nord,1600.0,130.0,Tunisie-annonce TN,2850588,12.307692307692308
Nabeul,250.0,150.0,Tunisie-annonce TN,2832080,1.6666666666666667
Tunis,900.0,100.0,Tunisie-annonce TN,2859875,9.0
Ben arous,500.0,100.0,Tunisie-annonce TN,2862165,5.0
Nabeul,3500.0,400.0,Tunisie-annonce TN,2856361,8.75
Ariana,1500.0,130.0,Tunisie-annonce TN,2838360,11.538461538461538
