Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Ariana,180000.0,68.0,Jumia TN,L-TN-00157378,2647.0588235294117
Nabeul,650000.0,157.0,Jumia TN,L-TN-00163387,4140.127388535032
Ben arous,252000.0,180.0,Jumia TN,L-TN-00123031,1400.0
Nabeul,170000.0,180.0,Jumia TN,L-TN-00135725,944.4444444444445
Banlieue Nord,350000.0,140.0,Jumia TN,L-TN-00131866,2500.0
Sousse,800000.0,150.0,Jumia TN,L-TN-00140822,5333.333333333333
Ariana,210000.0,157.0,Jumia TN,L-TN-00149547,1337.5796178343949
Ariana,543904.0,236.0,Jumia TN,L-TN-00105103,2304.677966101695
Ariana,160000.0,150.0,Jumia TN,L-TN-00155703,1066.6666666666667
Ben arous,188000.0,106.0,Jumia TN,L-TN-00150930,1773.5849056603774
Nabeul,345000.0,142.0,Jumia TN,L-TN-00107452,2429.5774647887324
Sousse,950.0,160.0,Jumia TN,L-TN-00115412,5.9375
Banlieue Nord,410000.0,165.0,Jumia TN,L-TN-00148251,2484.848484848485
Ariana,214550.0,123.0,Jumia TN,L-TN-00153142,1744.3089430894308
Ariana,175000.0,75.0,Jumia TN,L-TN-00149075,2333.3333333333335
Ben arous,160000.0,129.0,Jumia TN,L-TN-00125951,1240.3100775193798
Sousse,270000.0,63.0,Jumia TN,L-TN-00153593,4285.714285714285
Ben arous,145000.0,100.0,Jumia TN,L-TN-00163485,1450.0
Ben arous,80000.0,80.0,Jumia TN,L-TN-00127076,1000.0
Banlieue Nord,235000.0,135.0,Jumia TN,L-TN-00137940,1740.7407407407406
Banlieue Nord,450000.0,152.0,Jumia TN,L-TN-00123222,2960.5263157894738
Ariana,258000.0,99.0,Jumia TN,L-TN-00127517,2606.060606060606
Banlieue Nord,1500000.0,280.0,Jumia TN,L-TN-00132571,5357.142857142857
Ariana,257000.0,136.0,Jumia TN,L-TN-00154245,1889.7058823529412
Ariana,160000.0,150.0,Jumia TN,L-TN-00153433,1066.6666666666667
Banlieue Nord,293000.0,93.0,Jumia TN,L-TN-00131676,3150.537634408602
Sousse,750.0,100.0,Jumia TN,L-TN-00142237,7.5
Sousse,230000.0,76.0,Jumia TN,L-TN-00159053,3026.315789473684
Ariana,195000.0,90.0,Jumia TN,L-TN-00136491,2166.6666666666665
Ariana,180000.0,147.0,Jumia TN,L-TN-00154286,1224.4897959183672
Nabeul,65000.0,80.0,Jumia TN,L-TN-00154577,812.5
Banlieue Nord,680000.0,270.0,Jumia TN,L-TN-00139478,2518.5185185185187
Banlieue Nord,950000.0,314.0,Jumia TN,L-TN-00130161,3025.477707006369
Sousse,95000.0,120.0,Jumia TN,L-TN-00142500,791.6666666666666
Banlieue Nord,560000.0,116.0,Jumia TN,L-TN-00146879,4827.586206896552
Nabeul,55000.0,60.0,Jumia TN,L-TN-00142596,916.6666666666666
Banlieue Nord,980000.0,230.0,Jumia TN,L-TN-00153540,4260.869565217391
Ben arous,250000.0,158.0,Jumia TN,L-TN-00147191,1582.2784810126582
Ariana,260000.0,130.0,Jumia TN,L-TN-00113935,2000.0
Ariana,380000.0,134.0,Jumia TN,L-TN-00127164,2835.820895522388
Sousse,198000.0,124.0,Jumia TN,L-TN-00155377,1596.774193548387
Ariana,183000.0,147.0,Jumia TN,L-TN-00148939,1244.8979591836735
Sousse,130000.0,65.0,Jumia TN,L-TN-00146482,2000.0
Banlieue Nord,552000.0,230.0,Jumia TN,L-TN-00131348,2400.0
Ariana,250000.0,104.0,Jumia TN,L-TN-00154296,2403.846153846154
Sousse,190000.0,116.0,Jumia TN,L-TN-00146709,1637.9310344827586
Sousse,250000.0,158.0,Jumia TN,L-TN-00112958,1582.2784810126582
Ben arous,130000.0,80.0,Jumia TN,L-TN-00161916,1625.0
Nabeul,420000.0,120.0,Jumia TN,L-TN-00131273,3500.0
Ben arous,252000.0,180.0,Jumia TN,L-TN-00123029,1400.0
Ariana,175075.0,76.0,Jumia TN,L-TN-00154761,2303.6184210526317
Banlieue Nord,580000.0,145.0,Jumia TN,L-TN-00120642,4000.0
Banlieue Nord,500000.0,178.0,Jumia TN,L-TN-00152624,2808.9887640449438
Ariana,300000.0,191.0,Jumia TN,L-TN-00153888,1570.6806282722514
Ariana,419000.0,156.0,Jumia TN,L-TN-00127497,2685.897435897436
Ariana,89000.0,53.0,Jumia TN,L-TN-00150628,1679.245283018868
Ben arous,98000.0,90.0,Jumia TN,L-TN-00141411,1088.888888888889
Sousse,110000.0,87.0,Jumia TN,L-TN-00140966,1264.367816091954
Ariana,225000.0,105.0,Jumia TN,L-TN-00149771,2142.8571428571427
Mahdia,395000.0,138.0,Jumia TN,L-TN-00100118,2862.31884057971
Sousse,225000.0,108.0,Jumia TN,L-TN-00150727,2083.3333333333335
Ariana,387782.0,158.0,Jumia TN,L-TN-00149010,2454.3164556962024
Banlieue Nord,435000.0,196.0,Jumia TN,L-TN-00149476,2219.387755102041
Ben arous,130000.0,104.0,Jumia TN,L-TN-00131125,1250.0
Ariana,320000.0,124.0,Jumia TN,L-TN-00149887,2580.6451612903224
Ariana,198170.0,111.0,Jumia TN,L-TN-00152738,1785.3153153153153
Sousse,260000.0,137.0,Jumia TN,L-TN-00150568,1897.8102189781023
Ariana,308000.0,145.0,Jumia TN,L-TN-00132420,2124.137931034483
Ariana,340500.0,159.0,Jumia TN,L-TN-00150569,2141.509433962264
Banlieue Nord,300.0,112.0,Jumia TN,L-TN-00134221,2.6785714285714284
Nabeul,320000.0,149.0,Jumia TN,L-TN-00145142,2147.6510067114095
Banlieue Nord,880000.0,271.0,Jumia TN,L-TN-00154111,3247.2324723247234
Ariana,340000.0,145.0,Jumia TN,L-TN-00123930,2344.8275862068967
Banlieue Nord,210000.0,69.0,Jumia TN,L-TN-00148679,3043.478260869565
Nabeul,158519.0,65.0,Jumia TN,L-TN-00163769,2438.753846153846
Banlieue Nord,180000.0,100.0,Jumia TN,L-TN-00102426,1800.0
Ariana,250000.0,105.0,Jumia TN,L-TN-00154210,2380.9523809523807
Ariana,108000.0,60.0,Jumia TN,L-TN-00161302,1800.0
Banlieue Nord,3000.0,76.0,Jumia TN,L-TN-00125998,39.473684210526315
Banlieue Nord,400000.0,152.0,Jumia TN,L-TN-00150373,2631.5789473684213
