Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size
Cite el khadra,680.0,100.0,L,Tunisie-annonce TN,2831337,6.8
Tunis,1200.0,100.0,L,Tunisie-annonce TN,2830487,12.0
Banlieue Nord,270000.0,190.0,V,Jumia TN,L-TN-00137068,1421.0526315789473
Ariana,2000.0,200.0,L,Tunisie-annonce TN,2794755,10.0
Banlieue Nord,950000.0,400.0,V,Jumia TN,L-TN-00126534,2375.0
Ariana,950.0,165.0,L,Tunisie-annonce TN,2792038,5.757575757575758
Ariana,685.0,82.0,L,Tunisie-annonce TN,2831319,8.353658536585366
Ben arous,460.0,176.0,L,Tunisie-annonce TN,2831318,2.6136363636363638
Jendouba,300.0,30.0,L,Tunisie-annonce TN,2831316,10.0
Sousse,168000.0,130.0,V,Jumia TN,L-TN-00156932,1292.3076923076924
Banlieue Nord,1200.0,100.0,L,Tunisie-annonce TN,2748715,12.0
Tunis,1200.0,100.0,L,Tunisie-annonce TN,2747424,12.0
Banlieue Nord,850000.0,197.0,V,Jumia TN,L-TN-00152482,4314.720812182741
Monastir,375.0,75.0,L,Tunisie-annonce TN,2821685,5.0
Sousse,155000.0,125.0,V,Jumia TN,L-TN-00150751,1240.0
Monastir,250.0,60.0,L,Tunisie-annonce TN,2771514,4.166666666666667
Nabeul,247215.0,106.0,V,Jumia TN,L-TN-00163765,2332.2169811320755
Ariana,900.0,140.0,L,Tunisie-annonce TN,2793759,6.428571428571429
Ariana,1400.0,160.0,L,Tunisie-annonce TN,2795170,8.75
Sousse,1100000.0,250.0,V,Jumia TN,L-TN-00142521,4400.0
Ariana,700.0,100.0,L,Tunisie-annonce TN,2817108,7.0
Ariana,385000.0,159.0,V,Jumia TN,L-TN-00123924,2421.383647798742
Banlieue Nord,178000.0,105.0,V,Jumia TN,L-TN-00148373,1695.2380952380952
Ariana,700.0,100.0,L,Tunisie-annonce TN,2817111,7.0
Banlieue Nord,345000.0,113.0,V,Jumia TN,L-TN-00136243,3053.097345132743
Banlieue Nord,860.0,128.0,L,Tunisie-annonce TN,2831290,6.71875
Banlieue Nord,1700.0,150.0,L,Tunisie-annonce TN,2704023,11.333333333333334
Sousse,140000.0,90.0,V,Jumia TN,L-TN-00114512,1555.5555555555557
Banlieue Nord,4800.0,500.0,L,Tunisie-annonce TN,2794940,9.6
Banlieue Nord,1000.0,80.0,L,Tunisie-annonce TN,2801582,12.5
Ariana,250000.0,171.0,V,Jumia TN,L-TN-00154525,1461.9883040935672
Ariana,560.0,59.0,L,Tunisie-annonce TN,2829524,9.491525423728813
Ariana,560.0,59.0,L,Tunisie-annonce TN,2829530,9.491525423728813
Ariana,1500.0,200.0,L,Tunisie-annonce TN,2455240,7.5
Ariana,352000.0,132.0,V,Jumia TN,L-TN-00127529,2666.6666666666665
Jendouba,560.0,90.0,L,Tunisie-annonce TN,2597233,6.222222222222222
Banlieue Nord,150000.0,40.0,V,Jumia TN,L-TN-00156981,3750.0
Tunis,2000.0,180.0,L,Tunisie-annonce TN,2756287,11.11111111111111
Ariana,4150000.0,250.0,V,Jumia TN,L-TN-00151318,16600.0
Bizerte,350.0,95.0,L,Tunisie-annonce TN,2831349,3.6842105263157894
Ariana,800.0,120.0,L,Tunisie-annonce TN,2821306,6.666666666666667
Ariana,229000.0,122.0,V,Jumia TN,L-TN-00116546,1877.049180327869
Ariana,900.0,65.0,L,Tunisie-annonce TN,2485038,13.846153846153847
Banlieue Nord,270000.0,135.0,V,Jumia TN,L-TN-00164641,2000.0
Nabeul,5000.0,120.0,L,Tunisie-annonce TN,2820228,41.666666666666664
Banlieue Nord,400000.0,152.0,V,Jumia TN,L-TN-00152665,2631.5789473684213
Nabeul,240000.0,104.0,V,Jumia TN,L-TN-00155254,2307.6923076923076
Ariana,1000.0,110.0,L,Tunisie-annonce TN,2826751,9.090909090909092
Ben arous,1200.0,500.0,L,Tunisie-annonce TN,2613854,2.4
Sousse,155000.0,125.0,V,Jumia TN,L-TN-00152636,1240.0
Ben arous,700.0,150.0,L,Tunisie-annonce TN,2810280,4.666666666666667
Banlieue Nord,450.0,70.0,L,Tunisie-annonce TN,2831344,6.428571428571429
Banlieue Nord,326304.0,102.0,V,Jumia TN,L-TN-00113951,3199.0588235294117
Banlieue Nord,270000.0,100.0,V,Jumia TN,L-TN-00164294,2700.0
Ben arous,600.0,110.0,L,Tunisie-annonce TN,2821308,5.454545454545454
Cite el khadra,480.0,80.0,L,Tunisie-annonce TN,2803635,6.0
Tunis,850.0,100.0,L,Tunisie-annonce TN,2801411,8.5
Nabeul,2500.0,196.0,V,Jumia TN,L-TN-00155821,12.755102040816327
Nabeul,3500.0,510.0,L,Tunisie-annonce TN,2831196,6.862745098039215
Banlieue Nord,424160.0,153.0,V,Jumia TN,L-TN-00133031,2772.2875816993464
Jendouba,1000.0,80.0,L,Tunisie-annonce TN,2831367,12.5
Ariana,239750.0,138.0,V,Jumia TN,L-TN-00152715,1737.3188405797102
Ariana,110000.0,39.0,V,Jumia TN,L-TN-00156806,2820.5128205128203
Ariana,700.0,100.0,L,Tunisie-annonce TN,2821191,7.0
Ariana,850.0,220.0,L,Tunisie-annonce TN,2823833,3.8636363636363638
Ariana,790.0,60.0,L,Tunisie-annonce TN,2572835,13.166666666666666
Tunis,2200.0,185.0,L,Tunisie-annonce TN,2781280,11.891891891891891
Ben arous,145000.0,102.0,V,Jumia TN,L-TN-00129978,1421.5686274509803
Sousse,330000.0,123.0,V,Jumia TN,L-TN-00123118,2682.9268292682927
Ariana,439000.0,184.0,V,Jumia TN,L-TN-00127505,2385.8695652173915
Tunis,350.0,79.0,L,Tunisie-annonce TN,2825345,4.430379746835443
Sousse,370000.0,111.0,V,Jumia TN,L-TN-00115410,3333.3333333333335
Ariana,230.0,180.0,L,Tunisie-annonce TN,2831356,1.2777777777777777
Banlieue Nord,410000.0,156.0,V,Jumia TN,L-TN-00153940,2628.2051282051284
Ariana,900.0,80.0,L,Tunisie-annonce TN,2810525,11.25
Banlieue Nord,1200.0,100.0,L,Tunisie-annonce TN,2826088,12.0
Ariana,223440.0,133.0,V,Jumia TN,L-TN-00154576,1680.0
Nabeul,212000.0,106.0,V,Jumia TN,L-TN-00122179,2000.0
Ariana,211190.0,121.0,V,Jumia TN,L-TN-00153318,1745.3719008264463
Ariana,580.0,130.0,L,Tunisie-annonce TN,2811681,4.461538461538462
Tunis,1200.0,100.0,L,Tunisie-annonce TN,2830651,12.0
Mannouba,290.0,80.0,L,Tunisie-annonce TN,2822667,3.625
Mannouba,300.0,80.0,L,Tunisie-annonce TN,2811327,3.75
Banlieue Nord,394872.0,144.0,V,Jumia TN,L-TN-00133030,2742.1666666666665
Nabeul,750.0,100.0,L,Tunisie-annonce TN,2831395,7.5
Banlieue Nord,2600.0,150.0,L,Tunisie-annonce TN,2747628,17.333333333333332
Ben arous,160000.0,100.0,V,Jumia TN,L-TN-00115304,1600.0
Ariana,1500.0,124.0,L,Tunisie-annonce TN,2750606,12.096774193548388
Nabeul,140000.0,80.0,V,Jumia TN,L-TN-00145139,1750.0
Ariana,1300.0,280.0,L,Tunisie-annonce TN,2799699,4.642857142857143
Banlieue Nord,800.0,52.0,L,Tunisie-annonce TN,2791146,15.384615384615385
Ben arous,135000.0,120.0,V,Jumia TN,L-TN-00126239,1125.0
Banlieue Nord,120.0,80.0,L,Tunisie-annonce TN,2415156,1.5
Nabeul,850.0,120.0,L,Tunisie-annonce TN,2831389,7.083333333333333
Nabeul,500.0,200.0,L,Tunisie-annonce TN,2357942,2.5
Bizerte,500.0,90.0,L,Tunisie-annonce TN,2527976,5.555555555555555
Sousse,250000.0,148.0,V,Jumia TN,L-TN-00150670,1689.1891891891892
Ariana,700.0,100.0,L,Tunisie-annonce TN,2824488,7.0
Banlieue Nord,297000.0,91.0,V,Jumia TN,L-TN-00143562,3263.736263736264
Tunis,500.0,50.0,L,Tunisie-annonce TN,2802525,10.0
Tunis,800.0,100.0,L,Tunisie-annonce TN,2777778,8.0
Sousse,167000.0,110.0,V,Jumia TN,L-TN-00156890,1518.1818181818182
Gabes,200.0,70.0,L,Tunisie-annonce TN,2587781,2.857142857142857
Ben arous,165000.0,100.0,V,Jumia TN,L-TN-00129845,1650.0
Ben arous,270.0,34.0,L,Tunisie-annonce TN,2821785,7.9411764705882355
Nabeul,2500.0,500.0,L,Tunisie-annonce TN,2776566,5.0
Nabeul,97000.0,40.0,V,Jumia TN,L-TN-00160384,2425.0
Ben arous,270.0,34.0,L,Tunisie-annonce TN,2820692,7.9411764705882355
Ariana,210000.0,84.0,V,Jumia TN,L-TN-00164069,2500.0
Ben arous,450.0,80.0,L,Tunisie-annonce TN,2831415,5.625
Nabeul,380000.0,157.0,V,Jumia TN,L-TN-00144986,2420.3821656050955
Cite el khadra,650.0,75.0,L,Tunisie-annonce TN,2831414,8.666666666666666
Banlieue Nord,704000.0,258.0,V,Jumia TN,L-TN-00161415,2728.6821705426355
Sousse,1200.0,180.0,L,Tunisie-annonce TN,2815791,6.666666666666667
Nabeul,650000.0,300.0,V,Jumia TN,L-TN-00148707,2166.6666666666665
Sousse,310000.0,123.0,V,Jumia TN,L-TN-00115926,2520.3252032520327
Sousse,4000.0,180.0,L,Tunisie-annonce TN,2255074,22.22222222222222
Ariana,260000.0,120.0,V,Jumia TN,L-TN-00151291,2166.6666666666665
Sousse,167000.0,90.0,V,Jumia TN,L-TN-00135126,1855.5555555555557
Ariana,1800.0,250.0,L,Tunisie-annonce TN,2823959,7.2
Bardo,240.0,45.0,L,Tunisie-annonce TN,2317772,5.333333333333333
Sousse,141250.0,105.0,V,Jumia TN,L-TN-00150650,1345.2380952380952
Sousse,1100.0,140.0,L,Tunisie-annonce TN,2790324,7.857142857142857
Sfax,350.0,70.0,L,Tunisie-annonce TN,2572113,5.0
Ariana,181000.0,60.0,V,Jumia TN,L-TN-00129060,3016.6666666666665
Ariana,650.0,70.0,L,Tunisie-annonce TN,2778599,9.285714285714286
Sousse,495000.0,165.0,V,Jumia TN,L-TN-00163572,3000.0
Ariana,500.0,40.0,L,Tunisie-annonce TN,2801720,12.5
Ariana,950.0,105.0,L,Tunisie-annonce TN,2815513,9.047619047619047
Ariana,750.0,100.0,L,Tunisie-annonce TN,2830693,7.5
Ben arous,350.0,250.0,L,Tunisie-annonce TN,2792419,1.4
Sousse,170000.0,70.0,V,Jumia TN,L-TN-00125276,2428.5714285714284
Bizerte,600.0,180.0,L,Tunisie-annonce TN,2591020,3.3333333333333335
Ariana,369760.0,176.0,V,Jumia TN,L-TN-00132326,2100.909090909091
Tunis,900.0,65.0,L,Tunisie-annonce TN,2781227,13.846153846153847
Sousse,340000.0,110.0,V,Jumia TN,L-TN-00120785,3090.909090909091
Tunis,700.0,55.0,L,Tunisie-annonce TN,2822290,12.727272727272727
Tunis,470.0,40.0,L,Tunisie-annonce TN,2781220,11.75
Nabeul,500.0,500.0,L,Tunisie-annonce TN,2831454,1.0
Ariana,250000.0,171.0,V,Jumia TN,L-TN-00153713,1461.9883040935672
Nabeul,140000.0,60.0,V,Jumia TN,L-TN-00132253,2333.3333333333335
Tunis,550.0,28.0,L,Tunisie-annonce TN,2828085,19.642857142857142
Tunis,230.0,100.0,L,Tunisie-annonce TN,2819914,2.3
Sousse,110000.0,38.0,V,Jumia TN,L-TN-00162240,2894.7368421052633
Ariana,490.0,60.0,L,Tunisie-annonce TN,2813276,8.166666666666666
Sousse,125000.0,50.0,V,Jumia TN,L-TN-00161387,2500.0
Nabeul,700.0,180.0,L,Tunisie-annonce TN,2803589,3.888888888888889
Ben arous,270.0,34.0,L,Tunisie-annonce TN,2818150,7.9411764705882355
Banlieue Nord,170000.0,98.0,V,Jumia TN,L-TN-00124533,1734.6938775510205
Beja,300.0,50.0,L,Tunisie-annonce TN,2618270,6.0
Ariana,650.0,90.0,L,Tunisie-annonce TN,2824254,7.222222222222222
Ariana,210000.0,117.0,V,Jumia TN,L-TN-00114939,1794.871794871795
Ben arous,155000.0,128.0,V,Jumia TN,L-TN-00126904,1210.9375
Ariana,122.0,140.0,L,Tunisie-annonce TN,2803255,0.8714285714285714
Sousse,750.0,75.0,L,Tunisie-annonce TN,2630952,10.0
Nabeul,252000.0,126.0,V,Jumia TN,L-TN-00121469,2000.0
Banlieue Nord,178000.0,104.0,V,Jumia TN,L-TN-00149158,1711.5384615384614
Mannouba,380.0,50.0,L,Tunisie-annonce TN,2821755,7.6
Bizerte,185000.0,150.0,V,Jumia TN,L-TN-00130659,1233.3333333333333
Jendouba,560.0,70.0,L,Tunisie-annonce TN,2232528,8.0
Banlieue Nord,135000.0,90.0,V,Jumia TN,L-TN-00132033,1500.0
Ariana,258000.0,136.0,V,Jumia TN,L-TN-00104846,1897.0588235294117
Ariana,1200.0,100.0,L,Tunisie-annonce TN,2802421,12.0
Ariana,250000.0,111.0,V,Jumia TN,L-TN-00155919,2252.252252252252
Nabeul,600.0,80.0,L,Tunisie-annonce TN,2818193,7.5
Ariana,150000.0,100.0,V,Jumia TN,L-TN-00131552,1500.0
Ariana,480.0,51.0,L,Tunisie-annonce TN,2831474,9.411764705882353
Banlieue Nord,430000.0,177.0,V,Jumia TN,L-TN-00152598,2429.3785310734465
Tunis,750.0,75.0,L,Tunisie-annonce TN,2830306,10.0
Banlieue Nord,250000.0,100.0,V,Jumia TN,L-TN-00154715,2500.0
Ariana,440000.0,162.0,V,Jumia TN,L-TN-00120790,2716.0493827160494
Ariana,300000.0,119.0,V,Jumia TN,L-TN-00149803,2521.0084033613443
Banlieue Nord,265000.0,135.0,V,Jumia TN,L-TN-00163833,1962.962962962963
Sousse,250000.0,100.0,V,Jumia TN,L-TN-00140980,2500.0
Sousse,600.0,43.0,L,Tunisie-annonce TN,2782966,13.953488372093023
Banlieue Nord,380000.0,138.0,V,Jumia TN,L-TN-00137517,2753.623188405797
Sfax,600.0,200.0,L,Tunisie-annonce TN,2814757,3.0
Sousse,146000.0,42.0,V,Jumia TN,L-TN-00115927,3476.190476190476
Ariana,2500.0,350.0,L,Tunisie-annonce TN,2799768,7.142857142857143
Gabes,350.0,167.0,L,Tunisie-annonce TN,2591849,2.095808383233533
Sousse,220000.0,50.0,V,Jumia TN,L-TN-00115654,4400.0
Tunis,350.0,70.0,L,Tunisie-annonce TN,2831471,5.0
Sousse,217000.0,148.0,V,Jumia TN,L-TN-00156836,1466.2162162162163
Ariana,300.0,70.0,L,Tunisie-annonce TN,2831461,4.285714285714286
Sousse,215000.0,130.0,V,Jumia TN,L-TN-00161735,1653.8461538461538
Banlieue Nord,460000.0,200.0,V,Jumia TN,L-TN-00139547,2300.0
Sousse,180.0,50.0,V,Jumia TN,L-TN-00138636,3.6
Ariana,100.0,130.0,L,Tunisie-annonce TN,896412,0.7692307692307693
Nabeul,330000.0,117.0,V,Jumia TN,L-TN-00155827,2820.5128205128203
Nabeul,500.0,200.0,L,Tunisie-annonce TN,2822505,2.5
Ben arous,600.0,150.0,L,Tunisie-annonce TN,2813956,4.0
Ariana,985800.0,283.0,V,Jumia TN,L-TN-00156859,3483.39222614841
Sousse,100.0,100.0,L,Tunisie-annonce TN,2812814,1.0
Ariana,357050.0,202.0,V,Jumia TN,L-TN-00152590,1767.5742574257426
Sousse,300.0,90.0,L,Tunisie-annonce TN,2548763,3.3333333333333335
Bardo,350.0,35.0,L,Tunisie-annonce TN,2826399,10.0
Banlieue Nord,255000.0,169.0,V,Jumia TN,L-TN-00148252,1508.8757396449705
Ariana,1000.0,100.0,L,Tunisie-annonce TN,2632637,10.0
Banlieue Nord,1150.0,160.0,L,Tunisie-annonce TN,2812956,7.1875
Ben arous,600.0,110.0,L,Tunisie-annonce TN,2813147,5.454545454545454
Ben arous,600.0,150.0,L,Tunisie-annonce TN,2824383,4.0
Banlieue Nord,1200.0,100.0,L,Tunisie-annonce TN,2830506,12.0
Ariana,700000.0,360.0,V,Jumia TN,L-TN-00153710,1944.4444444444443
Beja,600.0,65.0,L,Tunisie-annonce TN,2831483,9.23076923076923
Mahdia,348300.0,122.0,V,Jumia TN,L-TN-00096496,2854.9180327868853
Sousse,350.0,65.0,L,Tunisie-annonce TN,2824808,5.384615384615385
Sousse,298000.0,119.0,V,Jumia TN,L-TN-00163410,2504.201680672269
Sousse,125000.0,78.0,V,Jumia TN,L-TN-00105437,1602.5641025641025
Sfax,290.0,35.0,L,Tunisie-annonce TN,2573375,8.285714285714286
Banlieue Nord,468000.0,234.0,V,Jumia TN,L-TN-00087993,2000.0
Tunis,1700.0,50.0,L,Tunisie-annonce TN,2746251,34.0
Ariana,92.0,100.0,L,Tunisie-annonce TN,2272992,0.92
Ariana,281600.0,128.0,V,Jumia TN,L-TN-00158774,2200.0
Sfax,395.0,70.0,L,Tunisie-annonce TN,2572666,5.642857142857143
Nabeul,145000.0,75.0,V,Jumia TN,L-TN-00102751,1933.3333333333333
Banlieue Nord,120.0,69.0,L,Tunisie-annonce TN,2677736,1.7391304347826086
Ariana,367000.0,132.0,V,Jumia TN,L-TN-00129068,2780.3030303030305
Banlieue Nord,130.0,71.0,L,Tunisie-annonce TN,2663010,1.8309859154929577
Ariana,210000.0,105.0,V,Jumia TN,L-TN-00153458,2000.0
Ariana,91.0,150.0,L,Tunisie-annonce TN,2315181,0.6066666666666667
Banlieue Nord,130.0,75.0,L,Tunisie-annonce TN,2722647,1.7333333333333334
Banlieue Nord,150.0,50.0,L,Tunisie-annonce TN,2812007,3.0
Sousse,220000.0,70.0,V,Jumia TN,L-TN-00132848,3142.8571428571427
Tunis,950.0,119.0,L,Tunisie-annonce TN,2820219,7.983193277310924
Ben arous,173000.0,105.0,V,Jumia TN,L-TN-00152907,1647.6190476190477
Sfax,700.0,169.0,L,Tunisie-annonce TN,2828630,4.1420118343195265
Ariana,590.0,75.0,L,Tunisie-annonce TN,2787314,7.866666666666666
Sfax,1500.0,45.0,L,Tunisie-annonce TN,2577312,33.333333333333336
Ben arous,190000.0,145.0,V,Jumia TN,L-TN-00152577,1310.344827586207
Ariana,900.0,100.0,L,Tunisie-annonce TN,2425982,9.0
Ariana,560000.0,180.0,V,Jumia TN,L-TN-00127501,3111.1111111111113
Sousse,140000.0,85.0,V,Jumia TN,L-TN-00134843,1647.0588235294117
Bizerte,650.0,80.0,L,Tunisie-annonce TN,2749449,8.125
Nabeul,350.0,60.0,L,Tunisie-annonce TN,2416230,5.833333333333333
Tunis,140.0,100.0,L,Tunisie-annonce TN,2391280,1.4
Ariana,410000.0,143.0,V,Jumia TN,L-TN-00164097,2867.132867132867
Banlieue Nord,160.0,130.0,L,Tunisie-annonce TN,2526725,1.2307692307692308
Banlieue Nord,130.0,50.0,L,Tunisie-annonce TN,2230565,2.6
Ben arous,750.0,200.0,L,Tunisie-annonce TN,2813400,3.75
Banlieue Nord,280000.0,160.0,V,Jumia TN,L-TN-00148257,1750.0
Banlieue Nord,800000.0,223.0,V,Jumia TN,L-TN-00163367,3587.4439461883408
Ariana,100.0,120.0,L,Tunisie-annonce TN,1135978,0.8333333333333334
Sousse,170000.0,103.0,V,Jumia TN,L-TN-00141050,1650.485436893204
Sousse,1450.0,170.0,L,Tunisie-annonce TN,2783285,8.529411764705882
Banlieue Nord,580000.0,242.0,V,Jumia TN,L-TN-00112627,2396.694214876033
Ariana,1200.0,56.0,L,Tunisie-annonce TN,2831515,21.428571428571427
Ariana,125000.0,60.0,V,Jumia TN,L-TN-00085031,2083.3333333333335
Sousse,550.0,108.0,L,Tunisie-annonce TN,2831514,5.092592592592593
Ariana,316000.0,137.0,V,Jumia TN,L-TN-00136432,2306.5693430656934
Sousse,120000.0,100.0,V,Jumia TN,L-TN-00152774,1200.0
Tunis,380.0,30.0,L,Tunisie-annonce TN,2820495,12.666666666666666
Tunis,280.0,20.0,L,Tunisie-annonce TN,2803453,14.0
Nabeul,900.0,180.0,L,Tunisie-annonce TN,2820755,5.0
Banlieue Nord,230000.0,147.0,V,Jumia TN,L-TN-00146580,1564.6258503401361
Ariana,850.0,110.0,L,Tunisie-annonce TN,2803456,7.7272727272727275
Mannouba,470.0,75.0,L,Tunisie-annonce TN,2830626,6.266666666666667
Ben arous,272450.0,195.0,V,Jumia TN,L-TN-00123032,1397.179487179487
Ben arous,330.0,70.0,L,Tunisie-annonce TN,2776160,4.714285714285714
Sousse,240000.0,103.0,V,Jumia TN,L-TN-00148628,2330.097087378641
Banlieue Nord,298000.0,77.0,V,Jumia TN,L-TN-00161457,3870.12987012987
Banlieue Nord,800.0,100.0,L,Tunisie-annonce TN,2831532,8.0
Tunis,1650.0,105.0,L,Tunisie-annonce TN,2831513,15.714285714285714
Banlieue Nord,421200.0,162.0,V,Jumia TN,L-TN-00126512,2600.0
Banlieue Nord,1650.0,105.0,L,Tunisie-annonce TN,2831521,15.714285714285714
Sousse,350000.0,175.0,V,Jumia TN,L-TN-00159771,2000.0
Nabeul,125.0,150.0,L,Tunisie-annonce TN,1536086,0.8333333333333334
Ariana,1300.0,130.0,L,Tunisie-annonce TN,2827182,10.0
Banlieue Nord,950000.0,316.0,V,Jumia TN,L-TN-00150497,3006.3291139240505
Nabeul,100.0,80.0,L,Tunisie-annonce TN,2357863,1.25
Mannouba,850.0,155.0,L,Tunisie-annonce TN,2831529,5.483870967741935
Banlieue Nord,3500.0,250.0,L,Tunisie-annonce TN,2809963,14.0
Banlieue Nord,265000.0,135.0,V,Jumia TN,L-TN-00150398,1962.962962962963
Banlieue Nord,1800.0,100.0,L,Tunisie-annonce TN,2573586,18.0
Ben arous,160000.0,95.0,V,Jumia TN,L-TN-00121069,1684.2105263157894
Banlieue Nord,2500.0,130.0,L,Tunisie-annonce TN,2783536,19.23076923076923
Mahdia,316800.0,131.0,V,Jumia TN,L-TN-00096485,2418.320610687023
Nabeul,450.0,90.0,L,Tunisie-annonce TN,2810298,5.0
Banlieue Nord,244000.0,144.0,V,Jumia TN,L-TN-00162233,1694.4444444444443
Ariana,255000.0,120.0,V,Jumia TN,L-TN-00154295,2125.0
Mahdia,700.0,220.0,L,Tunisie-annonce TN,2737992,3.1818181818181817
Ariana,196610.0,110.0,V,Jumia TN,L-TN-00153570,1787.3636363636363
Ben arous,450.0,70.0,L,Tunisie-annonce TN,2822589,6.428571428571429
Sousse,145000.0,97.0,V,Jumia TN,L-TN-00141447,1494.8453608247423
Ariana,9000.0,800.0,L,Tunisie-annonce TN,2744587,11.25
Sousse,330000.0,100.0,V,Jumia TN,L-TN-00115903,3300.0
Banlieue Nord,200000.0,100.0,V,Jumia TN,L-TN-00132818,2000.0
Bizerte,400.0,100.0,L,Tunisie-annonce TN,2829749,4.0
Ben arous,125000.0,95.0,V,Jumia TN,L-TN-00142029,1315.7894736842106
Banlieue Nord,215000.0,104.0,V,Jumia TN,L-TN-00149676,2067.3076923076924
Bizerte,550.0,200.0,L,Tunisie-annonce TN,2701117,2.75
Banlieue Nord,160000.0,74.0,V,Jumia TN,L-TN-00129123,2162.162162162162
Nabeul,120.0,125.0,L,Tunisie-annonce TN,2201597,0.96
Nabeul,245.0,117.0,V,Jumia TN,L-TN-00058969,2.094017094017094
Jendouba,150.0,110.0,L,Tunisie-annonce TN,2776834,1.3636363636363635
Ariana,183000.0,73.0,V,Jumia TN,L-TN-00154937,2506.849315068493
Banlieue Nord,4000.0,800.0,L,Tunisie-annonce TN,2827518,5.0
Banlieue Nord,4200.0,750.0,L,Tunisie-annonce TN,2827502,5.6
Tunis,950.0,155.0,L,Tunisie-annonce TN,2831555,6.129032258064516
Nabeul,450.0,150.0,L,Tunisie-annonce TN,2831554,3.0
Sousse,210000.0,143.0,V,Jumia TN,L-TN-00156667,1468.5314685314686
Ben arous,700.0,100.0,L,Tunisie-annonce TN,2831553,7.0
Nabeul,300000.0,80.0,V,Jumia TN,L-TN-00134412,3750.0
Ben arous,750.0,50.0,L,Tunisie-annonce TN,2823289,15.0
Ariana,1800.0,70.0,L,Tunisie-annonce TN,490066,25.714285714285715
Ariana,162000.0,100.0,V,Jumia TN,L-TN-00157846,1620.0
Banlieue Nord,623353.0,172.0,V,Jumia TN,L-TN-00155224,3624.1453488372094
Nabeul,150.0,120.0,L,Tunisie-annonce TN,2367301,1.25
Sfax,150000.0,106.0,V,Jumia TN,L-TN-00141890,1415.0943396226414
Nabeul,1000.0,200.0,L,Tunisie-annonce TN,2799787,5.0
Sousse,222000.0,70.0,V,Jumia TN,L-TN-00131796,3171.4285714285716
Sousse,750.0,130.0,L,Tunisie-annonce TN,2770273,5.769230769230769
Nabeul,370000.0,160.0,V,Jumia TN,L-TN-00161283,2312.5
Ariana,440000.0,144.0,V,Jumia TN,L-TN-00127081,3055.5555555555557
Sousse,250000.0,80.0,V,Jumia TN,L-TN-00135343,3125.0
Tunis,12000.0,110.0,L,Tunisie-annonce TN,2765483,109.0909090909091
Ariana,100.0,120.0,L,Tunisie-annonce TN,1271910,0.8333333333333334
Mahdia,202500.0,84.0,V,Jumia TN,L-TN-00096570,2410.714285714286
Ariana,260000.0,120.0,V,Jumia TN,L-TN-00147152,2166.6666666666665
Ariana,130.0,180.0,L,Tunisie-annonce TN,1585452,0.7222222222222222
Ariana,1000.0,135.0,L,Tunisie-annonce TN,2769860,7.407407407407407
Ariana,1000.0,130.0,L,Tunisie-annonce TN,2827189,7.6923076923076925
Ben arous,272451.0,195.0,V,Jumia TN,L-TN-00123034,1397.1846153846154
Ben arous,900.0,85.0,L,Tunisie-annonce TN,2754851,10.588235294117647
Ariana,375000.0,156.0,V,Jumia TN,L-TN-00123922,2403.846153846154
Ben arous,500.0,85.0,L,Tunisie-annonce TN,2820411,5.882352941176471
Ben arous,650.0,120.0,L,Tunisie-annonce TN,2831496,5.416666666666667
Sousse,400000.0,118.0,V,Jumia TN,L-TN-00123190,3389.830508474576
Sousse,600.0,120.0,L,Tunisie-annonce TN,2587207,5.0
Ariana,153000.0,130.0,V,Jumia TN,L-TN-00154199,1176.923076923077
Sfax,500.0,145.0,L,Tunisie-annonce TN,2808136,3.4482758620689653
Tunis,2250.0,350.0,L,Tunisie-annonce TN,2831557,6.428571428571429
Banlieue Nord,2000.0,180.0,V,Jumia TN,L-TN-00161190,11.11111111111111
Mannouba,350.0,60.0,L,Tunisie-annonce TN,2819779,5.833333333333333
Sousse,1800.0,80.0,V,Jumia TN,L-TN-00137197,22.5
Nabeul,650.0,120.0,V,Jumia TN,L-TN-00145161,5.416666666666667
Bizerte,600.0,80.0,L,Tunisie-annonce TN,2723599,7.5
Monastir,100.0,90.0,L,Tunisie-annonce TN,2831556,1.1111111111111112
Mahdia,230200.0,95.0,V,Jumia TN,L-TN-00100383,2423.157894736842
Sousse,255000.0,183.0,V,Jumia TN,L-TN-00156511,1393.4426229508197
Sfax,1000.0,650.0,L,Tunisie-annonce TN,2825948,1.5384615384615385
Bizerte,350.0,120.0,L,Tunisie-annonce TN,2800750,2.9166666666666665
Bizerte,2500.0,350.0,L,Tunisie-annonce TN,2677583,7.142857142857143
Ariana,405725.0,183.0,V,Jumia TN,L-TN-00159139,2217.0765027322404
Banlieue Nord,2000.0,130.0,L,Tunisie-annonce TN,2827611,15.384615384615385
Banlieue Nord,300000.0,90.0,V,Jumia TN,L-TN-00142635,3333.3333333333335
Banlieue Nord,2300.0,180.0,L,Tunisie-annonce TN,2759714,12.777777777777779
Ben arous,1500.0,105.0,L,Tunisie-annonce TN,2787439,14.285714285714286
Ben arous,1200.0,89.0,L,Tunisie-annonce TN,2731905,13.48314606741573
Ariana,365000.0,175.0,V,Jumia TN,L-TN-00152818,2085.714285714286
Sousse,450.0,125.0,L,Tunisie-annonce TN,2295751,3.6
Tunis,550.0,65.0,L,Tunisie-annonce TN,2754098,8.461538461538462
Ariana,300000.0,150.0,V,Jumia TN,L-TN-00099401,2000.0
