Country,Price,Size,Status,Marketplace,Reference,Moy_prix_by_size
Ariana,1200.0,210.0,L,Tunisie-annonce TN,2766529,5.714285714285714
Ben arous,850.0,180.0,L,Tunisie-annonce TN,2783593,4.722222222222222
Banlieue Nord,980000.0,230.0,V,Jumia TN,L-TN-00153540,4260.869565217391
Nabeul,850.0,120.0,L,Tunisie-annonce TN,2831396,7.083333333333333
Gabes,200.0,65.0,L,Tunisie-annonce TN,2669344,3.076923076923077
Ben arous,250000.0,158.0,V,Jumia TN,L-TN-00147191,1582.2784810126582
Ariana,260000.0,130.0,V,Jumia TN,L-TN-00113935,2000.0
Tunis,700.0,100.0,L,Tunisie-annonce TN,2823367,7.0
Ariana,380000.0,134.0,V,Jumia TN,L-TN-00127164,2835.820895522388
Gabes,250.0,70.0,L,Tunisie-annonce TN,2587771,3.5714285714285716
Nabeul,880.0,250.0,L,Tunisie-annonce TN,2807996,3.52
Sousse,198000.0,124.0,V,Jumia TN,L-TN-00155377,1596.774193548387
Ariana,183000.0,147.0,V,Jumia TN,L-TN-00148939,1244.8979591836735
Nabeul,880.0,250.0,L,Tunisie-annonce TN,2782598,3.52
Sousse,130000.0,65.0,V,Jumia TN,L-TN-00146482,2000.0
Nabeul,880.0,250.0,L,Tunisie-annonce TN,2819761,3.52
Ariana,1200.0,150.0,L,Tunisie-annonce TN,2745848,8.0
Banlieue Nord,552000.0,230.0,V,Jumia TN,L-TN-00131348,2400.0
Ariana,250000.0,104.0,V,Jumia TN,L-TN-00154296,2403.846153846154
Sousse,190000.0,116.0,V,Jumia TN,L-TN-00146709,1637.9310344827586
Ariana,480.0,100.0,L,Tunisie-annonce TN,2831378,4.8
Sousse,250000.0,158.0,V,Jumia TN,L-TN-00112958,1582.2784810126582
Sousse,100.0,50.0,L,Tunisie-annonce TN,2824425,2.0
Nabeul,1200.0,56.0,L,Tunisie-annonce TN,2815658,21.428571428571427
Ben arous,130000.0,80.0,V,Jumia TN,L-TN-00161916,1625.0
Tunis,580.0,50.0,L,Tunisie-annonce TN,2831341,11.6
Nabeul,420000.0,120.0,V,Jumia TN,L-TN-00131273,3500.0
Nabeul,150.0,120.0,L,Tunisie-annonce TN,2813894,1.25
Ben arous,252000.0,180.0,V,Jumia TN,L-TN-00123029,1400.0
Nabeul,500.0,70.0,L,Tunisie-annonce TN,2390077,7.142857142857143
Ariana,175075.0,76.0,V,Jumia TN,L-TN-00154761,2303.6184210526317
Cite el khadra,100.0,100.0,L,Tunisie-annonce TN,2831340,1.0
Sousse,1500.0,240.0,L,Tunisie-annonce TN,2831336,6.25
Ariana,900.0,120.0,L,Tunisie-annonce TN,2788855,7.5
Banlieue Nord,700.0,120.0,L,Tunisie-annonce TN,2800494,5.833333333333333
Banlieue Nord,580000.0,145.0,V,Jumia TN,L-TN-00120642,4000.0
Ariana,105.0,55.0,L,Tunisie-annonce TN,2800822,1.9090909090909092
Banlieue Nord,500000.0,178.0,V,Jumia TN,L-TN-00152624,2808.9887640449438
Nabeul,700.0,110.0,L,Tunisie-annonce TN,2822719,6.363636363636363
Sfax,570.0,87.0,L,Tunisie-annonce TN,2831304,6.551724137931035
Bardo,550.0,78.0,L,Tunisie-annonce TN,2831302,7.051282051282051
Banlieue Nord,5000.0,250.0,L,Tunisie-annonce TN,2818964,20.0
Banlieue Nord,850.0,190.0,L,Tunisie-annonce TN,2805823,4.473684210526316
Ariana,300000.0,191.0,V,Jumia TN,L-TN-00153888,1570.6806282722514
Ariana,1500.0,138.0,L,Tunisie-annonce TN,2770145,10.869565217391305
Ariana,419000.0,156.0,V,Jumia TN,L-TN-00127497,2685.897435897436
Sousse,1200.0,80.0,L,Tunisie-annonce TN,2826499,15.0
Ariana,89000.0,53.0,V,Jumia TN,L-TN-00150628,1679.245283018868
Ariana,900.0,146.0,L,Tunisie-annonce TN,2600439,6.164383561643835
Tunis,300.0,34.0,L,Tunisie-annonce TN,2785686,8.823529411764707
Banlieue Nord,750.0,100.0,L,Tunisie-annonce TN,2831267,7.5
Ariana,1500.0,140.0,L,Tunisie-annonce TN,2770148,10.714285714285714
Mahdia,130.0,100.0,L,Tunisie-annonce TN,2831247,1.3
Ben arous,98000.0,90.0,V,Jumia TN,L-TN-00141411,1088.888888888889
Sousse,110000.0,87.0,V,Jumia TN,L-TN-00140966,1264.367816091954
Ariana,3500.0,500.0,L,Tunisie-annonce TN,2738493,7.0
Ariana,225000.0,105.0,V,Jumia TN,L-TN-00149771,2142.8571428571427
Mahdia,395000.0,138.0,V,Jumia TN,L-TN-00100118,2862.31884057971
Ariana,900.0,80.0,L,Tunisie-annonce TN,2822025,11.25
Sousse,225000.0,108.0,V,Jumia TN,L-TN-00150727,2083.3333333333335
Ben arous,600.0,160.0,L,Tunisie-annonce TN,2831223,3.75
Ariana,387782.0,158.0,V,Jumia TN,L-TN-00149010,2454.3164556962024
Ben arous,600.0,98.0,L,Tunisie-annonce TN,2820808,6.122448979591836
Cite el khadra,25000.0,5000.0,L,Tunisie-annonce TN,2583043,5.0
Banlieue Nord,435000.0,196.0,V,Jumia TN,L-TN-00149476,2219.387755102041
Ben arous,130000.0,104.0,V,Jumia TN,L-TN-00131125,1250.0
Ben arous,10800.0,1300.0,L,Tunisie-annonce TN,2586716,8.307692307692308
Ariana,320000.0,124.0,V,Jumia TN,L-TN-00149887,2580.6451612903224
Ariana,550.0,85.0,L,Tunisie-annonce TN,2831162,6.470588235294118
Ariana,198170.0,111.0,V,Jumia TN,L-TN-00152738,1785.3153153153153
Ben arous,650.0,100.0,L,Tunisie-annonce TN,2831155,6.5
Sousse,260000.0,137.0,V,Jumia TN,L-TN-00150568,1897.8102189781023
Ben arous,800.0,138.0,L,Tunisie-annonce TN,2730352,5.797101449275362
Ariana,308000.0,145.0,V,Jumia TN,L-TN-00132420,2124.137931034483
Ben arous,800.0,138.0,L,Tunisie-annonce TN,2818604,5.797101449275362
Banlieue Nord,4000.0,250.0,L,Tunisie-annonce TN,2813805,16.0
Ariana,340500.0,159.0,V,Jumia TN,L-TN-00150569,2141.509433962264
Ariana,3000.0,250.0,L,Tunisie-annonce TN,2753644,12.0
Banlieue Nord,300.0,112.0,V,Jumia TN,L-TN-00134221,2.6785714285714284
Ariana,850.0,160.0,L,Tunisie-annonce TN,2819912,5.3125
Jendouba,100.0,50.0,L,Tunisie-annonce TN,2050720,2.0
Nabeul,320000.0,149.0,V,Jumia TN,L-TN-00145142,2147.6510067114095
Banlieue Nord,880000.0,271.0,V,Jumia TN,L-TN-00154111,3247.2324723247234
Ariana,340000.0,145.0,V,Jumia TN,L-TN-00123930,2344.8275862068967
Banlieue Nord,210000.0,69.0,V,Jumia TN,L-TN-00148679,3043.478260869565
Nabeul,158519.0,65.0,V,Jumia TN,L-TN-00163769,2438.753846153846
Banlieue Nord,180000.0,100.0,V,Jumia TN,L-TN-00102426,1800.0
Jendouba,1500.0,160.0,L,Tunisie-annonce TN,2474926,9.375
Ariana,250000.0,105.0,V,Jumia TN,L-TN-00154210,2380.9523809523807
Bizerte,600.0,100.0,L,Tunisie-annonce TN,2634908,6.0
Ariana,750.0,90.0,L,Tunisie-annonce TN,2831135,8.333333333333334
Ariana,108000.0,60.0,V,Jumia TN,L-TN-00161302,1800.0
Ariana,800.0,95.0,L,Tunisie-annonce TN,2831133,8.421052631578947
Banlieue Nord,3000.0,76.0,V,Jumia TN,L-TN-00125998,39.473684210526315
Ariana,900.0,168.0,L,Tunisie-annonce TN,2816183,5.357142857142857
Banlieue Nord,2000.0,180.0,L,Tunisie-annonce TN,2771511,11.11111111111111
Banlieue Nord,400000.0,152.0,V,Jumia TN,L-TN-00150373,2631.5789473684213
Ariana,1000.0,245.0,L,Tunisie-annonce TN,2831132,4.081632653061225
Ariana,250000.0,104.0,V,Jumia TN,L-TN-00149250,2403.846153846154
Ben arous,600.0,128.0,L,Tunisie-annonce TN,2831015,4.6875
Nabeul,145000.0,90.0,V,Jumia TN,L-TN-00161512,1611.111111111111
Ariana,850.0,157.0,L,Tunisie-annonce TN,2831129,5.414012738853503
Ariana,170000.0,147.0,V,Jumia TN,L-TN-00154417,1156.4625850340135
Nabeul,350000.0,124.0,V,Jumia TN,L-TN-00161769,2822.5806451612902
Ariana,1300.0,150.0,L,Tunisie-annonce TN,2822346,8.666666666666666
Ariana,700.0,120.0,L,Tunisie-annonce TN,2830106,5.833333333333333
Ariana,1500.0,150.0,L,Tunisie-annonce TN,2827716,10.0
Ariana,850.0,125.0,L,Tunisie-annonce TN,2831120,6.8
Jendouba,490.0,40.0,L,Tunisie-annonce TN,2831154,12.25
Ariana,175000.0,60.0,V,Jumia TN,L-TN-00104851,2916.6666666666665
Banlieue Nord,2000.0,250.0,L,Tunisie-annonce TN,2773826,8.0
Ariana,260000.0,200.0,V,Jumia TN,L-TN-00153998,1300.0
Banlieue Nord,2400.0,63.0,L,Tunisie-annonce TN,2805138,38.095238095238095
Banlieue Nord,2500.0,450.0,L,Tunisie-annonce TN,2561411,5.555555555555555
Banlieue Nord,6000.0,900.0,L,Tunisie-annonce TN,2826848,6.666666666666667
Banlieue Nord,385000.0,145.0,V,Jumia TN,L-TN-00136418,2655.1724137931033
Banlieue Nord,340000.0,180.0,V,Jumia TN,L-TN-00154107,1888.888888888889
Ariana,159000.0,70.0,V,Jumia TN,L-TN-00155172,2271.4285714285716
Banlieue Nord,800000.0,272.0,V,Jumia TN,L-TN-00134307,2941.176470588235
Sousse,340000.0,230.0,V,Jumia TN,L-TN-00138642,1478.2608695652175
Sousse,270000.0,128.0,V,Jumia TN,L-TN-00122318,2109.375
Banlieue Nord,810000.0,148.0,V,Jumia TN,L-TN-00124230,5472.972972972973
Banlieue Nord,413000.0,153.0,V,Jumia TN,L-TN-00161425,2699.346405228758
Banlieue Nord,1800.0,400.0,L,Tunisie-annonce TN,2787527,4.5
Banlieue Nord,3000.0,400.0,L,Tunisie-annonce TN,2809010,7.5
Sousse,1700.0,40.0,L,Tunisie-annonce TN,2549656,42.5
Ben arous,150000.0,117.0,V,Jumia TN,L-TN-00126303,1282.051282051282
Banlieue Nord,950.0,80.0,L,Tunisie-annonce TN,2804147,11.875
Banlieue Nord,3000.0,200.0,L,Tunisie-annonce TN,2794597,15.0
Banlieue Nord,2000.0,130.0,L,Tunisie-annonce TN,2809973,15.384615384615385
Banlieue Nord,240000.0,85.0,V,Jumia TN,L-TN-00146320,2823.529411764706
Ariana,260000.0,122.0,V,Jumia TN,L-TN-00145914,2131.1475409836066
Banlieue Nord,1050000.0,400.0,V,Jumia TN,L-TN-00148780,2625.0
Banlieue Nord,3800.0,400.0,L,Tunisie-annonce TN,2642365,9.5
Ariana,850.0,74.0,L,Tunisie-annonce TN,2820622,11.486486486486486
Bizerte,230000.0,121.0,V,Jumia TN,L-TN-00152878,1900.8264462809918
Ariana,580.0,110.0,L,Tunisie-annonce TN,2831143,5.2727272727272725
Ben arous,750.0,138.0,L,Tunisie-annonce TN,2813468,5.434782608695652
Ben arous,16700.0,2000.0,L,Tunisie-annonce TN,2586719,8.35
Banlieue Nord,2500.0,235.0,V,Jumia TN,L-TN-00146602,10.638297872340425
Bardo,270.0,45.0,L,Tunisie-annonce TN,2809941,6.0
Bardo,220.0,45.0,L,Tunisie-annonce TN,2417520,4.888888888888889
Ben arous,160000.0,103.0,V,Jumia TN,L-TN-00128165,1553.3980582524273
Ariana,275000.0,136.0,V,Jumia TN,L-TN-00152563,2022.0588235294117
Bizerte,100.0,100.0,L,Tunisie-annonce TN,2831190,1.0
