Country,Price,Size,Status,Marketplace
Ben arous,160000.0,103.0,A vendre,Jumia TN
Ariana,275000.0,136.0,A vendre,Jumia TN
Ariana,190000.0,112.0,A vendre,Jumia TN
Banlieue Nord,850000.0,1.0,A vendre,Jumia TN
Ariana,183000.0,147.0,A vendre,Jumia TN
Banlieue Nord,770000.0,1.0,A vendre,Jumia TN
Banlieue Nord,395000.0,138.0,A vendre,Jumia TN
Banlieue Nord,435000.0,162.0,A vendre,Jumia TN
Sousse,350000.0,250.0,A vendre,Jumia TN
Ariana,335000.0,140.0,A vendre,Jumia TN
Sousse,280000.0,220.0,A vendre,Jumia TN
Banlieue Nord,330000.0,1.0,A vendre,Jumia TN
Nabeul,380000.0,107.0,A vendre,Jumia TN
Nabeul,240000.0,157.0,A vendre,Jumia TN
Ariana,328960.0,132.0,A vendre,Jumia TN
Banlieue Nord,450000.0,159.0,A vendre,Jumia TN
Ariana,288418.0,125.0,A vendre,Jumia TN
Banlieue Nord,225000.0,110.0,A vendre,Jumia TN
Sousse,250000.0,180.0,A vendre,Jumia TN
Banlieue Nord,1050000.0,245.0,A vendre,Jumia TN
Sousse,195000.0,120.0,A vendre,Jumia TN
Ariana,315000.0,162.0,A vendre,Jumia TN
Sousse,520000.0,192.0,A vendre,Jumia TN
Banlieue Nord,230000.0,1.0,A vendre,Jumia TN
Banlieue Nord,580000.0,1.0,A vendre,Jumia TN
Banlieue Nord,501000.0,180.0,A vendre,Jumia TN
Ariana,272000.0,129.0,A vendre,Jumia TN
Mannouba,130000.0,105.0,A vendre,Jumia TN
Sousse,180000.0,76.0,A vendre,Jumia TN
Ariana,180000.0,147.0,A vendre,Jumia TN
Nabeul,130000.0,65.0,A vendre,Jumia TN
Sousse,280000.0,155.0,A vendre,Jumia TN
Mahdia,414500.0,145.0,A vendre,Jumia TN
Ariana,375000.0,156.0,A vendre,Jumia TN
Banlieue Nord,600000.0,1.0,A vendre,Jumia TN
Djerba,296000.0,150.0,A vendre,Jumia TN
Sousse,200000.0,115.0,A vendre,Jumia TN
Sousse,256000.0,160.0,A vendre,Jumia TN
Sousse,72000.0,50.0,A vendre,Jumia TN
Banlieue Nord,590000.0,200.0,A vendre,Jumia TN
Ben arous,180000.0,112.0,A vendre,Jumia TN
