Country,Price,Size,Marketplace,Reference,Moy_prix_by_size
Ariana,165.0,100.0,Tunisie-annonce TN,2831585,1.65
Ariana,950.0,140.0,Tunisie-annonce TN,2815556,6.785714285714286
Tunis,140.0,80.0,Tunisie-annonce TN,2777893,1.75
Ariana,500.0,110.0,Tunisie-annonce TN,2831583,4.545454545454546
Ariana,10000.0,700.0,Tunisie-annonce TN,2791959,14.285714285714286
Sfax,1500.0,4600.0,Tunisie-annonce TN,2782757,0.32608695652173914
Ariana,380.0,50.0,Tunisie-annonce TN,2820177,7.6
Bizerte,650.0,100.0,Tunisie-annonce TN,2791201,6.5
Bizerte,700.0,50.0,Tunisie-annonce TN,2825412,14.0
Bardo,660.0,125.0,Tunisie-annonce TN,2828154,5.28
Ben arous,450.0,150.0,Tunisie-annonce TN,2823277,3.0
Mannouba,600.0,350.0,Tunisie-annonce TN,2831524,1.7142857142857142
Ben arous,500.0,100.0,Tunisie-annonce TN,2817196,5.0
Sfax,290.0,45.0,Tunisie-annonce TN,2784642,6.444444444444445
Ariana,350.0,80.0,Tunisie-annonce TN,2599415,4.375
Ariana,100.0,85.0,Tunisie-annonce TN,2496712,1.1764705882352942
Ariana,99.0,90.0,Tunisie-annonce TN,2493417,1.1
Ben arous,550.0,200.0,Tunisie-annonce TN,2831501,2.75
Ariana,900.0,110.0,Tunisie-annonce TN,2774915,8.181818181818182
Ariana,280.0,12.0,Tunisie-annonce TN,2770893,23.333333333333332
Ben arous,410.0,80.0,Tunisie-annonce TN,2826444,5.125
Ariana,480.0,90.0,Tunisie-annonce TN,2831499,5.333333333333333
Nabeul,850.0,150.0,Tunisie-annonce TN,2810862,5.666666666666667
Nabeul,900.0,160.0,Tunisie-annonce TN,2813184,5.625
Ben arous,300.0,65.0,Tunisie-annonce TN,2828094,4.615384615384615
Nabeul,850.0,150.0,Tunisie-annonce TN,2813205,5.666666666666667
Ariana,900.0,140.0,Tunisie-annonce TN,2827061,6.428571428571429
Mannouba,950.0,210.0,Tunisie-annonce TN,2614985,4.523809523809524
Ariana,1250.0,200.0,Tunisie-annonce TN,2772756,6.25
Nabeul,450.0,40.0,Tunisie-annonce TN,2821815,11.25
Bardo,320.0,30.0,Tunisie-annonce TN,2811607,10.666666666666666
Ariana,165.0,100.0,Tunisie-annonce TN,2831467,1.65
Tunis,750.0,75.0,Tunisie-annonce TN,2830273,10.0
Nabeul,100.0,150.0,Tunisie-annonce TN,2786848,0.6666666666666666
Nabeul,120.0,120.0,Tunisie-annonce TN,2828999,1.0
Jendouba,120.0,55.0,Tunisie-annonce TN,2831434,2.1818181818181817
Ariana,850.0,105.0,Tunisie-annonce TN,2826983,8.095238095238095
Ariana,380.0,100.0,Tunisie-annonce TN,2828963,3.8
Ben arous,270.0,34.0,Tunisie-annonce TN,2820726,7.9411764705882355
Ariana,1000.0,140.0,Tunisie-annonce TN,2826965,7.142857142857143
Ariana,480.0,100.0,Tunisie-annonce TN,2818105,4.8
Monastir,300.0,50.0,Tunisie-annonce TN,2823610,6.0
Nabeul,700.0,90.0,Tunisie-annonce TN,2831403,7.777777777777778
Ben arous,110.0,90.0,Tunisie-annonce TN,2570420,1.2222222222222223
Ariana,1200.0,210.0,Tunisie-annonce TN,2766529,5.714285714285714
Ben arous,850.0,180.0,Tunisie-annonce TN,2783593,4.722222222222222
Nabeul,850.0,120.0,Tunisie-annonce TN,2831396,7.083333333333333
Gabes,200.0,65.0,Tunisie-annonce TN,2669344,3.076923076923077
Tunis,700.0,100.0,Tunisie-annonce TN,2823367,7.0
Gabes,250.0,70.0,Tunisie-annonce TN,2587771,3.5714285714285716
Nabeul,880.0,250.0,Tunisie-annonce TN,2807996,3.52
Nabeul,880.0,250.0,Tunisie-annonce TN,2782598,3.52
Nabeul,880.0,250.0,Tunisie-annonce TN,2819761,3.52
Ariana,1200.0,150.0,Tunisie-annonce TN,2745848,8.0
Ariana,480.0,100.0,Tunisie-annonce TN,2831378,4.8
Sousse,100.0,50.0,Tunisie-annonce TN,2824425,2.0
Nabeul,1200.0,56.0,Tunisie-annonce TN,2815658,21.428571428571427
Tunis,580.0,50.0,Tunisie-annonce TN,2831341,11.6
Nabeul,150.0,120.0,Tunisie-annonce TN,2813894,1.25
Nabeul,500.0,70.0,Tunisie-annonce TN,2390077,7.142857142857143
Cite el khadra,100.0,100.0,Tunisie-annonce TN,2831340,1.0
Sousse,1500.0,240.0,Tunisie-annonce TN,2831336,6.25
Ariana,900.0,120.0,Tunisie-annonce TN,2788855,7.5
Banlieue Nord,700.0,120.0,Tunisie-annonce TN,2800494,5.833333333333333
Ariana,105.0,55.0,Tunisie-annonce TN,2800822,1.9090909090909092
Nabeul,700.0,110.0,Tunisie-annonce TN,2822719,6.363636363636363
Sfax,570.0,87.0,Tunisie-annonce TN,2831304,6.551724137931035
Bardo,550.0,78.0,Tunisie-annonce TN,2831302,7.051282051282051
Banlieue Nord,5000.0,250.0,Tunisie-annonce TN,2818964,20.0
Banlieue Nord,850.0,190.0,Tunisie-annonce TN,2805823,4.473684210526316
Ariana,1500.0,138.0,Tunisie-annonce TN,2770145,10.869565217391305
Sousse,1200.0,80.0,Tunisie-annonce TN,2826499,15.0
Ariana,900.0,146.0,Tunisie-annonce TN,2600439,6.164383561643835
Tunis,300.0,34.0,Tunisie-annonce TN,2785686,8.823529411764707
Banlieue Nord,750.0,100.0,Tunisie-annonce TN,2831267,7.5
Ariana,1500.0,140.0,Tunisie-annonce TN,2770148,10.714285714285714
Mahdia,130.0,100.0,Tunisie-annonce TN,2831247,1.3
Ariana,3500.0,500.0,Tunisie-annonce TN,2738493,7.0
Ariana,900.0,80.0,Tunisie-annonce TN,2822025,11.25
Ben arous,600.0,160.0,Tunisie-annonce TN,2831223,3.75
Ben arous,600.0,98.0,Tunisie-annonce TN,2820808,6.122448979591836
Cite el khadra,25000.0,5000.0,Tunisie-annonce TN,2583043,5.0
Ben arous,10800.0,1300.0,Tunisie-annonce TN,2586716,8.307692307692308
Ariana,550.0,85.0,Tunisie-annonce TN,2831162,6.470588235294118
Ben arous,650.0,100.0,Tunisie-annonce TN,2831155,6.5
Ben arous,800.0,138.0,Tunisie-annonce TN,2730352,5.797101449275362
Ben arous,800.0,138.0,Tunisie-annonce TN,2818604,5.797101449275362
Banlieue Nord,4000.0,250.0,Tunisie-annonce TN,2813805,16.0
Ariana,3000.0,250.0,Tunisie-annonce TN,2753644,12.0
Ariana,850.0,160.0,Tunisie-annonce TN,2819912,5.3125
Jendouba,100.0,50.0,Tunisie-annonce TN,2050720,2.0
Jendouba,1500.0,160.0,Tunisie-annonce TN,2474926,9.375
Bizerte,600.0,100.0,Tunisie-annonce TN,2634908,6.0
Ariana,750.0,90.0,Tunisie-annonce TN,2831135,8.333333333333334
Ariana,800.0,95.0,Tunisie-annonce TN,2831133,8.421052631578947
Ariana,900.0,168.0,Tunisie-annonce TN,2816183,5.357142857142857
Banlieue Nord,2000.0,180.0,Tunisie-annonce TN,2771511,11.11111111111111
Ariana,1000.0,245.0,Tunisie-annonce TN,2831132,4.081632653061225
Ben arous,600.0,128.0,Tunisie-annonce TN,2831015,4.6875
