,Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2024,2018-07-16T12:38:24,Jumia TN,L-TN-00131940,A vendre,Appartements,Appartement S+3  Au Cité Les Palmerais,"Cité les Palmerais, AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",140,m²,3.0,2.0,350000.0,"A vendre un bel appartement S+3 situé au 5eme étage d'une résidence gardée et calme . A l'entrée on découvre un espace de vie spacieux tapissé de marbre blanc qui peut abriter un salon et une salle à manger, la cuisine est aménagée et équipée d'une plaque chauffante, d'une hotte aspirante et un four . Elle est complétée par un séchoir exploitable.  Un couloir nous mène à la compartiment nuit qui loge une suite parentale lumineuse, elle est munie par sa propre salle de bain et d'un dressing . Par la suite on trouve deux chambres à coucher équipées chacune par des dressings , Elles se partagent une salle de bain. Il profite d'un emplacement stratégique grâce à sa proximité de toutes les commodités. Standing et équipements : - résidence gardée et sécurisée 24/h  - architecture moderne  - ascenseur  - porte intérieur et extérieur en bois noble  - revêtement en marbre salon et chambres . - menuiserie aluminium .  - chaque pièce avec climatiseur  - chauffage central - Place de Parking",https://house.jumia.com.tn/appartement-s3-au-cite-les-palmerais-131940-29.html?page=24&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2062,2018-07-16T12:37:01,Jumia TN,L-TN-00149836,A vendre,Appartements,Vente Appartement S+2 À Ain Zaghouan,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",112,m²,2.0,1.0,250000.0,"A vendre, un Appartement S+2 de 112m² tres bien situé dans une résidence R+7 avec un grand passiot, à ain zaghouan prés de l’école américaine. Il se compose d'un salon avec balcon, une cuisine aménagée et équipée par une plaque de cuisson, un four et une hotte, une salle d'eau invités, deux chambres à coucher dont l'une avec dressing et une salle de bain. Il est doté du chauffage central et de deux climatiseurs ainsi qu'un abris de voiture. Contact: Hanen Ben Yahmed au , agence 100m², La Marsa.",https://house.jumia.com.tn/vente-appartement-s2-a-ain-zaghouan-149836-29.html?page=23&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2077,2018-07-16T12:36:23,Jumia TN,L-TN-00122265,A vendre,Appartements,Vente Appartement Villa Neuve À Ain Zaghouan,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,2.0,2.0,650000.0,"Nous mettons à la vente un appartement villa tout neuf de 400m2 à Ain Zaghouan dans une récente résidence gardée et sécurisée. Cet appartement de 198m2 couvert se distingue par son vaste jardin bien entretenu de 135m2. A l'entrée, il se compose d'un grand salon lumineux qui donne sur une belle terrasse, une cuisine équipée et aménagée, une salle d'eau pour les invités et une salle à manger. A l'étage, on trouve une suite avec dressing room, deux chambres et une salle de bain. Il est doté aussi par de grands dressings, du chauffage central, de la climatisation et deux places de parking au sous sol.",https://house.jumia.com.tn/vente-appartement-villa-neuve-a-ain-zaghouan-122265-29.html?page=22&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2139,2018-07-16T12:33:45,Jumia TN,L-TN-00151528,A vendre,Appartements,S+2 Haut Standing A Vendre,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,320000.0,"on vous propose un très bel appartement s+2 a 2 min de carrefour a pied dans une résidence très luxe est bien gardée , il se compose d un grand salon avec un balcon ,une cuisine très bien équipée un séchoir une suite parent et une chambre a coucher . l appartement contient aussi une place de parking au sol .",https://house.jumia.com.tn/s2-haut-standing-a-vendre-151528-29.html?page=21&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2155,2018-07-16T12:32:34,Jumia TN,L-TN-00149231,A vendre,Appartements,Belle Appartement À Ain Zaghouen,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",105,m²,2.0,1.0,178000.0,"Casa imed vous propose un appartement  à Ain Zaghouan. Appartement luxueux, entièrement rénové avec gout et modernité, exposé plein nord  aux 5 étages (avec double ascenseur) avec vue extraordinaire. Idéalement situé au cœur de la ville, les transports, les commerces et les rues piétonnes sont aux pieds de la résidence. Il dispose d'un grand salon avec  agrémenté d'un généreux balcon, de 2 chambres +cuisine bien équipé   et salle  de bain spacieuse   Et encore avec un parking sous-sol  pour 1véhicules.  Superficie : 105m²  Prix : 178000 mille  ikram ikram  Contactez (ikram ) Pour plus d’information n’hésitez pas à contactez votre conseillère en immobilier   Nous sommes à votre service (même samedi & dimanche ) Visite du bien disponible (fixer un RDV) Satisfaction garantie",https://house.jumia.com.tn/belle-appartement-a-ain-zaghouen-149231-29.html?page=20&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2267,2018-07-16T12:24:44,Jumia TN,L-TN-00152102,A vendre,Appartements,Apartment A Buy,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,585.0,apartment a Buy,https://house.jumia.com.tn/apartment-a-buy-152102-29.html?page=15&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2355,2018-07-16T12:19:18,Jumia TN,L-TN-00153743,A vendre,Appartements,A Vendre Un Appartement S+3 De Haut Standing,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",173,m²,3.0,2.0,450000.0,"A Vendre un Appartement  S+3 de HAUT STANDING Tout neuf au 2ème  et au 3ème étage d’une résidence calme et gardée dans le prestigieux quartier de Tunis ?Jardin de Carthage? sur la voie principale. NB : reste seulement deux appartements. Caractéristiques :  -Revêtement en marbre blanc et grés dans la masse 1er choix -Cuisines meublées et équipées de Four, Plaque et Hotte -Ascenseurs luxueux -Menuiserie aluminium avec double vitrage  -Volets roulant électriques -Bois noble pour les portes palières et intérieures  -Parabole numérique avec switcher individuel -Quincaillerie, appareillages électrique set sanitaire de 1er  choix -Chauffage central et climatisation par multi split dans toutes les pièces  -Placards meublés (Dressing) -Staff partiel, gorges, cache rideaux ..etc -Isolation thermique en terrasse  -Parking spacieux et celliers au sous-sol -Cour aménagée avec bacs à fleurs et banquettes -Loge gardien et local syndic L’appartement, de Superficie 172.5 m2, se compose d’une suite parentale avec dressing et sa propre salle de bain, deux chambres à coucher partageant une salle de bain, salon avec balcon, salle d’eau et une grande cuisine installée et équipée avec séchoir.",https://house.jumia.com.tn/a-vendre-un-appartement-s3-de-haut-standing-153743-29.html?page=11&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2450,2018-07-16T12:14:35,Jumia TN,L-TN-00158942,A vendre,Appartements,Vente S+1 À Ain Zaghouen Nord,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",90,m²,1.0,1.0,245000.0,"Nous mettons a la vente a ain zaghouan nord dans un quartier calme et sécurisé, un magnifique s+1 de 90m² tout neuf dans une résidence R+8. Il comprend, un salon qui ouvre sur belle terrasse, une cuisine équipée (four hotte plaque), une chambre à coucher avec un grand dressing et une salle de bain. L'appartement est doté du chauffage central de la climatisation en Split. Contact: Slim Bennani agence 100m2 le spécialiste de l’immobilier.",https://house.jumia.com.tn/vente-s1-a-ain-zaghouen-nord-158942-29.html?page=8&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2530,2018-07-16T12:11:45,Jumia TN,L-TN-00163539,A vendre,Appartements,Bel Appartement À Ain Zaghoun,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",90,m²,2.0,1.0,177000.0,#Casa imed# vous propose un appartement  à  ain zaghoun dans  une zone résidentiel prés de tt commodités. Elle  se  compose de salon +salle à manger +2chambres à coucher +cuisine  bien équipée +salle de bain  et  séchoir  Superficie : 90m² prix :  177 mille(négociable) Référence : AAS002,https://house.jumia.com.tn/bel-appartement-a-ain-zaghoun-163539-29.html?page=6&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2641,2018-07-16T12:07:47,Jumia TN,L-TN-00153000,A vendre,Appartements,A Vendre Un Appartement S+2 De 92M² À Ain Zaghouan,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",92,m²,2.0,1.0,185000.0,Cette appartement se situe au 1ère étage d'une Résidence proche des commodités. Il est caractérisé par une cuisine ouverte sur le salon. Deux chambres à coucher se partageant une salle de bain compose son compartiment nuit.   Une place de parking est disponible au sous-sol.,https://house.jumia.com.tn/a-vendre-un-appartement-s2-de-92m-a-ain-zaghouan-153000-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2785,2018-07-16T11:58:49,Jumia TN,L-TN-00153000,A vendre,Appartements,A Vendre Un Appartement S+2 De 92M² À Ain Zaghouan,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",92,m²,2.0,1.0,185000.0,Cette appartement se situe au 1ère étage d'une Résidence proche des commodités. Il est caractérisé par une cuisine ouverte sur le salon. Deux chambres à coucher se partageant une salle de bain compose son compartiment nuit.   Une place de parking est disponible au sous-sol.,https://house.jumia.com.tn/a-vendre-un-appartement-s2-de-92m-a-ain-zaghouan-153000-29.html?category=22&attribute_option=offer_type%3Abuy&dir=desc
