,Extraction_date,Marketplace,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
4497,2018-07-16T08:30:39,Tayara TN,487d0b89-e58c-4cc4-8e88-9deea298432f,Appartement,Joli Appartement À Jardin L'Aouina,"Tunis, L'aouina",Appartements,m²,3.0,,990.0,"Notre agence met en location un appartement Neuf, haut standing, au Jardins de l'Aouina: - Grand Hall d’entrée + salon + Cuisine équipée avec ANNEXE + 2 chambres a coucher (dont une avec balcon) + 1 Chambre/suite parents avec dressing installée en bois moderne et avec Salle d'eau/douche indépendante - SDB + SE (parents) avec accessoires de valeurs installés - 1 grands balcon qui s'étend tout au long de l'appart et sur lequel ouvre toutes les chambres - chauffage central - Climatiseur - Très bonne orientation (Toutes les chambres ouvrent sur le cote EST) - 7ème étage (dernier étage), avec 2 ascenseurs - 1 place parking spacieuse au sous-sol (+ parkings devant et derrière la résidence) - résidence gardée jour et nuit. N'hesitez pas de nous contactez par télephone : 93.937.763/29.561599 Nous sommes à votre service Visite du bien Par RDV",https://www.tayara.tn/listings/appartements-2/487d0b89-e58c-4cc4-8e88-9deea298432f/joli-appartement-à-jardin-l'aouina
4499,2018-07-16T08:30:35,Tayara TN,49021657-8d5f-4442-b732-96643f50da34,Appartement,A Louer,"Monastir, Monastir",Appartements,m²,1.0,,450.0,a louer appartement haut standing s+1 kitchinet salle de bain richement meublé salon chambre à couchée télé parabole climatiseur frigidaire gaz de ville inter-phone le pris est suivant periode,https://www.tayara.tn/listings/appartements-2/49021657-8d5f-4442-b732-96643f50da34/a-louer-
4501,2018-07-16T08:30:30,Tayara TN,48f9b332-59ce-412e-be32-329be3e7b713,Appartement,Show Room Local Commercial Mourouj 1,"Ben arous, El Mourouj",Appartements,m²,1.0,,900.0,"met en location un local commercial, show room à mourouj 1 sur la route principale bon emplacement , nouvelle construction . tout commerce .1èr étage d'une superficie de :100 m² Prix: 900 dinars Pour plus d'informations et visite contacté notre agence immobilière mourouj 1 au tél : 97625974/90351041",https://www.tayara.tn/listings/appartements-2/48f9b332-59ce-412e-be32-329be3e7b713/show-room-local-commercial-mourouj-1-
4502,2018-07-16T08:30:30,Tayara TN,43c96006-cab5-48dd-8e85-b132c362926f,Appartement,Appartement S+2 Luxueux À Louer (Parfait Pour Jeunes Mariés) Num : 50233966,"Kairouan, Kairouan",Appartements,m²,2.0,,0.0,Appartement S+2 luxueux à louer (premier étage) Salon + 2 grandes chambres + cuisine + toilette pour + d'information : contacter le 50233966,https://www.tayara.tn/listings/appartements-2/43c96006-cab5-48dd-8e85-b132c362926f/appartement-s+2-luxueux-à-louer-(parfait-pour-jeunes-mariés)-num-:-50233966
4505,2018-07-16T08:30:24,Tayara TN,48f1e343-87b5-4bb3-8878-0cf4aca322cd,Appartement,Offre Collocation D'Un Bureau,"Ariana, Ariana Ville",Appartements,m²,2.0,,325.0,Offre collocation un bureau s+1 (bureau de architecture et décoration) au centre urbain Nord près de clinique les jasmins Numéro de téléphone 28 168 05,https://www.tayara.tn/listings/appartements-2/48f1e343-87b5-4bb3-8878-0cf4aca322cd/offre-collocation-d'un-bureau-
4506,2018-07-16T08:30:23,Tayara TN,486524dd-17de-4185-9f46-e261251dfd96,Appartement,Appartement À Menzah 9,"Tunis, Menzah",Appartements,m²,4.0,,750.0,"offre n:900 A louer appartement à menzah 9 ,état propre comporte salon et 3 chambres à coucher,des placards,chauffage central,sdb,se,abri de voiture à coté clinique amel",https://www.tayara.tn/listings/appartements-2/486524dd-17de-4185-9f46-e261251dfd96/appartement-à-menzah-9
4507,2018-07-16T08:30:21,Tayara TN,4729db0c-62a3-4db3-827b-45d4f0603ed9,Appartement,Apprt S+1 Jennyfer Centre Ville,"Nabeul, Hammamet",Appartements,m²,2.0,,3400.0,"A louer un bel appartement neuf pour les vacances sis au centre ville Hammamet , prés de toutes les commodités et de la plage. il se compose d'un spacieux salon, une chambre à coucher, une salle d'eau, une cuisine équipée et une terrasse. L'appartement richement meublée et climatisé.",https://www.tayara.tn/listings/appartements-2/4729db0c-62a3-4db3-827b-45d4f0603ed9/apprt-s+1-jennyfer-centre-ville
4510,2018-07-16T08:30:18,Tayara TN,48437bb0-8fda-4de1-94bb-ef06b62d9599,Appartement,Location Un Rez De Chaussé S+2 À Gammarth Le Palace,"Tunis, Autres villes",Appartements,m²,2.0,,2700.0,"La Princesse Immobilière met à votre disposition un Rez de Chaussé jamais habité à Gammarth le Palace à 100 mètres de la Plage très Haut Standing composé de : Un Salon, Une salle d'eau invités, Une Cuisine équipée, La partie nuit se compose comme suit: Deux Suites qui ouvrent sur une terrasse avec Deux Dressings et Deux Salles d'eaux à L'Italienne... Un Système d'alarme. Climatisation en Split. Deux Places de Parking. Pour plus d'informations contactez-nous sur le 98109051",https://www.tayara.tn/listings/appartements-2/48437bb0-8fda-4de1-94bb-ef06b62d9599/location-un-rez-de-chaussé-s+2-à-gammarth-le-palace
4511,2018-07-16T08:30:16,Tayara TN,4722a367-b0de-46df-9ace-73243e706091,Appartement,Appartement À Louer À Cité Al Agba Monastir,"Monastir, Autres villes",Appartements,m²,2.0,,70.0,Appartement climatisé bien équipé s+2 à louer à cité al agba monastir pour les vacances par jour semaine mois,https://www.tayara.tn/listings/appartements-2/4722a367-b0de-46df-9ace-73243e706091/appartement-à-louer-à-cité-al-agba-monastir
4512,2018-07-16T08:30:15,Tayara TN,4560a328-320f-46dc-9283-efc0cea4a784,Appartement,A Louer,"Sousse, Hammam Sousse",Appartements,m²,2.0,,130.0,S+2 bien meublé a Cléopâtre prix:130/nuit contactez:51281714,https://www.tayara.tn/listings/appartements-2/4560a328-320f-46dc-9283-efc0cea4a784/a-louer
