Gouvernerat,moy
Mannouba,327.02610770963673
Sfax,1530.2542140708463
Mahdia,37.828596833919065
Banlieue Nord,302.0054183257293
Ariana,462.04428143807394
Sousse,357.140230470837
Nabeul,363.1887983309495
Bizerte,722.083102461346
Ben arous,315.8205329176288
Monastir,85.18672931064896
