Gouvernerat,Moy
Bizerte,3218.5273159144895
Banlieue Nord,4087.361228175798
Ariana,2335.7014459585976
Ben arous,1477.323845517893
Mannouba,1413.5802469135801
Nabeul,2299.509031663951
Sfax,1249.003984063745
Sousse,2108.430640872834
Monastir,1785.7142857142858
Mahdia,2640.058765915769
Djerba,1471.4499252615844
